Model,Share,Battery_Size,Max_Charge_P
BMW 225xe,3,7.6,3.7
BMW 225xe ACTIVE TOURER,29,10,3.7
BMW 225xe iPerformance,22,10,3.7
BMW 330e,4,12,3.7
AUDI A3 E-TRON,4,8.8,125
AUDI A3 SPORTBACK E-TRON,37,8.8,100
OPEL AMPERA ELÈCTRIC,39,60,45
SMART BRAUS ELECTRIC,5,16.7,6.6
BMW C-EVOLUTION,10,8.1,50
CITROEN C-ZERO,37,14.5,50
CITROEN C-ZERO SEDUCTION,117,16,50
MINI COUNTRYMAN,13,7.6,3.6
ZERO MOTORCYCLES DS ZF9,1,13,3.7
BMW E-EVOLUTION,4,8.1,50
VOLKWAGEN E-GOLF,736,55.7,44
NISSAN E-NV200,2536,22,46
VOLKWAGEN E-UP!,14,25.5,44
BYD E6,4,82,7.4
SMART ELECTRIC DRIVE,92,16.7,3.7
RENAULT FLUENCE,12,22,22
RENAULT FLUENCE Z.E.,10,22,22
SMART FORFOUR,19,16.7,3.6
SMART FORTWO ELECTRIC,64,16.7,22
MERCEDES-BENZ GLC 350 E 4MATIC,5,13.5,7.4
VOLKWAGEN GOLF,103,55.7,44
VOLKWAGEN GOLF GTE,25,55.7,3.7
MITSUBISHI I MIEV,1,16,50
MITSUBISHI I-MIEV,8,16,50
JAGUAR I-PACE,69,90,105
PEUGEOT ION,205,16,50
HYUNDAI IONIQ,1221,28,46
RENAULT KANGOO,14,31,7.2
RENAULT KANGOO EXPRESS ZE,61,31,7.2
RENAULT KANGOO ZE,36,31,7.2
HYUNDAI KONA,21,64,77
NISSAN LEAF,5428,51,100
TESLA MODEL 3,493,75,195
TESLA MODEL X,112,100,140
CITROEN N. BERLINGO,236,22.5,50
KIA NIRO PHEV,24,8.9,3.3
KIA OPTIMA,139,10,77
MITSUBISHI OUTLANDER,6,13.8,22
MITSUBISHI OUTLANDER PHEV,3401,13.8,22
PEUGEOT PARTNER FG L1,7,20.5,50
TOYOTA PRIUS PLUG-IN,1,4.4,30
TESLA S,1446,100,100
TESLA S 4X4,171,100,100
TESLA S 90D,55,90,100
ZERO MOTORCYCLES S ZF9,1,15.3,3.7
KIA SOUL EV,214,30,50
LEMEV STREAM,1,4,3.7
RENAULT TWIZY,54,6.1,3.6
RENAULT TWIZY 45,59,6.1,3.6
VOLTA BCN,13,3.1,148
VECTRIX VX1,129,8,3.7
XC90 T8 TWIN ENGINE,24,11.6,2.3
NISSAN ZE0 /A/A02,7,24,46
RENAULT ZOE,1333,47,22
RENAULT ZOE 240,329,22,22
BMW i3,1215,42.2,50
BMW i3 REX,725,42.2,50
